n,tiempo,memoria
1,8.000002708286047e-06,80
2,2.600019797682762e-06,80
3,1.2999807950109243e-06,80
4,1.00000761449337e-06,80
5,1.100008375942707e-06,80
6,1.700012944638729e-06,80
7,1.9000144675374031e-06,96
8,2.00001522898674e-06,96
9,2.6999914553016424e-06,96
10,2.500019036233425e-06,96
11,2.7999922167509794e-06,96
12,2.8999929782003164e-06,96
13,3.500026650726795e-06,96
14,4.1000021155923605e-06,100
15,3.9000005926936865e-06,104
16,4.2000028770416975e-06,104
17,4.8999791033566e-06,104
18,4.699977580457926e-06,104
19,5.0000089686363935e-06,104
20,5.4000120144337416e-06,104
21,5.5000127758830786e-06,108
22,7.599999662488699e-06,112
23,6.300018867477775e-06,112
24,6.600021151825786e-06,112
25,8.100003469735384e-06,112
26,7.399998139590025e-06,112
27,7.499998901039362e-06,112
28,9.000010322779417e-06,116
29,8.600007276982069e-06,120
30,8.200004231184721e-06,120
31,1.0199990356341004e-05,120
32,8.90000956133008e-06,120
33,9.100011084228754e-06,120
34,1.1399999493733048e-05,124
35,9.899988071992993e-06,128
36,1.0099989594891667e-05,128
37,1.2100004823878407e-05,128
38,1.0700023267418146e-05,128
39,1.2800010154023767e-05,128
40,1.170000177808106e-05,132
41,1.8699996871873736e-05,136
42,1.3699987903237343e-05,136
43,1.2500007869675756e-05,136
44,1.3399985618889332e-05,136
45,1.5199999324977398e-05,140
46,1.3199984095990658e-05,144
47,1.379998866468668e-05,144
48,1.550000160932541e-05,144
49,1.4099990949034691e-05,144
50,1.4399993233382702e-05,144
51,3.160000778734684e-05,148
52,1.5099998563528061e-05,152
53,1.7399986973032355e-05,152
54,1.5699974028393626e-05,152
55,1.580000389367342e-05,152
56,1.780001912266016e-05,156
57,1.7099984688684344e-05,160
58,1.6799982404336333e-05,160
59,1.780001912266016e-05,160
60,1.759998849593103e-05,160
61,1.9500002963468432e-05,164
62,1.8099992303177714e-05,168
63,1.829999382607639e-05,168
64,2.0700012100860476e-05,168
65,1.930000144056976e-05,168
66,1.9400002202019095e-05,172
67,2.1500018192455173e-05,176
68,2.0100007532164454e-05,176
69,2.0000006770715117e-05,176
70,2.099998528137803e-05,176
71,2.120001590810716e-05,180
72,3.9300008211284876e-05,184
73,2.1899992134422064e-05,184
74,2.1799991372972727e-05,184
75,2.2500025806948543e-05,184
76,2.239999594166875e-05,188
77,2.379997749812901e-05,192
78,2.3100001271814108e-05,192
79,2.340000355616212e-05,192
80,2.3600005079060793e-05,192
81,2.4100008886307478e-05,196
82,2.4600012693554163e-05,200
83,2.4800014216452837e-05,200
84,2.5899993488565087e-05,200
85,2.579999272711575e-05,204
86,2.5200017262250185e-05,208
87,2.5500019546598196e-05,208
88,3.23000131174922e-05,208
89,2.680000034160912e-05,208
90,2.6599998818710446e-05,212
91,2.6699999580159783e-05,216
92,2.720000338740647e-05,216
93,2.81000102404505e-05,216
94,2.7600006433203816e-05,216
95,2.81000102404505e-05,220
96,2.8000009479001164e-05,224
97,2.880001557059586e-05,224
98,2.9000017093494534e-05,224
99,2.9499991796910763e-05,228
100,3.070000093430281e-05,232
101,3.100000321865082e-05,232
102,3.060000017285347e-05,232
103,3.889997606165707e-05,232
104,3.1499977922067046e-05,236
105,3.1800009310245514e-05,240
106,3.200001083314419e-05,240
107,3.429999924264848e-05,240
108,3.270001616328955e-05,244
109,3.329999162815511e-05,248
110,3.4699973184615374e-05,248
111,3.4199998481199145e-05,248
112,3.460000152699649e-05,248
113,3.470000228844583e-05,252
114,3.460000152699649e-05,256
115,4.549999721348286e-05,256
116,3.480000304989517e-05,256
117,3.4900003811344504e-05,260
118,3.6200013710185885e-05,264
119,3.5500008380040526e-05,264
120,3.5500008380040526e-05,264
121,3.640001523308456e-05,268
122,3.6299985367804766e-05,272
123,3.71999922208488e-05,272
124,3.6900019040331244e-05,272
125,3.6999990697950125e-05,272
126,4.449998959898949e-05,276
127,3.860000288113952e-05,280
128,3.829997149296105e-05,280
129,3.860000288113952e-05,280
130,3.9000005926936865e-05,284
131,3.890000516548753e-05,288
132,4.0300015825778246e-05,288
