n,tiempo,memoria
1,0.000000,8
2,0.000000,16
3,0.000000,24
4,0.000000,32
5,0.000000,40
6,0.000000,48
7,0.000000,56
8,0.000000,64
9,0.000000,72
10,0.000000,80
11,0.000000,88
12,0.000000,96
13,0.000000,104
14,0.000000,112
15,0.000000,120
16,0.000000,128
17,0.000000,136
18,0.000000,144
19,0.000000,152
20,0.000000,160
21,0.000000,168
22,0.000000,176
23,0.000000,184
24,0.000000,192
25,0.000000,200
26,0.000000,208
27,0.000000,216
28,0.000000,224
29,0.000000,232
30,0.000000,240
31,0.000000,248
32,0.000000,256
33,0.000000,264
34,0.000000,272
35,0.000000,280
36,0.000000,288
37,0.000000,296
38,0.000000,304
39,0.000000,312
40,0.000000,320
41,0.000000,328
42,0.000000,336
43,0.000000,344
44,0.000000,352
45,0.000000,360
46,0.000000,368
47,0.000000,376
48,0.000000,384
49,0.000000,392
50,0.000000,400
51,0.000000,408
52,0.000000,416
53,0.000000,424
54,0.000000,432
55,0.000000,440
56,0.000000,448
57,0.000000,456
58,0.000000,464
59,0.000000,472
60,0.000000,480
61,0.000000,488
62,0.000000,496
63,0.000000,504
64,0.000000,512
65,0.000000,520
66,0.000000,528
67,0.000000,536
68,0.000000,544
69,0.000000,552
70,0.000000,560
71,0.000000,568
72,0.000000,576
73,0.000000,584
74,0.000000,592
75,0.000000,600
76,0.000000,608
77,0.000000,616
78,0.000000,624
79,0.000000,632
80,0.000000,640
81,0.000000,648
82,0.000000,656
83,0.000000,664
84,0.000000,672
85,0.000000,680
86,0.000000,688
87,0.000000,696
88,0.000000,704
89,0.000000,712
90,0.000000,720
91,0.000000,728
92,0.000000,736
93,0.000000,744
94,0.000000,752
95,0.000000,760
96,0.000000,768
97,0.000000,776
98,0.000000,784
99,0.000000,792
100,0.000000,800
101,0.000000,808
102,0.000000,816
103,0.000000,824
104,0.000000,832
105,0.000000,840
106,0.000000,848
107,0.000000,856
108,0.000000,864
109,0.000000,872
110,0.000000,880
111,0.000000,888
112,0.000000,896
113,0.000000,904
114,0.000000,912
115,0.000000,920
116,0.000000,928
117,0.000000,936
118,0.000000,944
119,0.000000,952
120,0.000000,960
121,0.000000,968
122,0.000000,976
123,0.000000,984
124,0.000000,992
125,0.000000,1000
126,0.000000,1008
127,0.000000,1016
128,0.000000,1024
129,0.000000,1032
130,0.000000,1040
131,0.000000,1048
132,0.000000,1056
133,0.000000,1064
134,0.000000,1072
135,0.000000,1080
136,0.000000,1088
137,0.000000,1096
138,0.000000,1104
139,0.000000,1112
140,0.000000,1120
141,0.000000,1128
142,0.000000,1136
143,0.000000,1144
144,0.000000,1152
145,0.000000,1160
146,0.000000,1168
147,0.000000,1176
148,0.000000,1184
149,0.000000,1192
150,0.000000,1200
151,0.000000,1208
152,0.000000,1216
153,0.000000,1224
154,0.000000,1232
155,0.000000,1240
156,0.000000,1248
157,0.000000,1256
158,0.000000,1264
159,0.000000,1272
160,0.000000,1280
161,0.000000,1288
162,0.000000,1296
163,0.000000,1304
164,0.000000,1312
165,0.000000,1320
166,0.000000,1328
167,0.000000,1336
168,0.000000,1344
169,0.000000,1352
